city,propertyUrl,zestimate,price,zipcode,Event,beds,priceHistory,state,street,baths,Date,sqfts,ownerPhone
National Park,http://www.zillow.com/homedetails/405-Pennsylvania-Ave-National-Park-NJ-08063/38797273_zpid/,"$129,786","$129,000",08063,Coming Soon,3 beds,,NJ,405 Pennsylvania Ave,1 bath,12/07/15,"1,028 sqft",
National Park,http://www.zillow.com/homedetails/405-Pennsylvania-Ave-National-Park-NJ-08063/38797273_zpid/,"$129,786","$129,000",08063,Sold,3 beds,,NJ,405 Pennsylvania Ave,1 bath,04/15/15,"1,028 sqft",
National Park,http://www.zillow.com/homedetails/405-Pennsylvania-Ave-National-Park-NJ-08063/38797273_zpid/,"$129,786","$129,000",08063,Listing removed,3 beds,,NJ,405 Pennsylvania Ave,1 bath,03/10/15,"1,028 sqft",
National Park,http://www.zillow.com/homedetails/405-Pennsylvania-Ave-National-Park-NJ-08063/38797273_zpid/,"$129,786","$129,000",08063,Price change,3 beds,,NJ,405 Pennsylvania Ave,1 bath,02/13/15,"1,028 sqft",
National Park,http://www.zillow.com/homedetails/405-Pennsylvania-Ave-National-Park-NJ-08063/38797273_zpid/,"$129,786","$129,000",08063,Sold,3 beds,,NJ,405 Pennsylvania Ave,1 bath,12/09/03,"1,028 sqft",
National Park,http://www.zillow.com/homedetails/405-Pennsylvania-Ave-National-Park-NJ-08063/38797273_zpid/,"$129,786","$129,000",08063,Sold,3 beds,,NJ,405 Pennsylvania Ave,1 bath,12/06/02,"1,028 sqft",
Pennsauken,http://www.zillow.com/homedetails/2641-Gladwyn-Ave-Pennsauken-NJ-08109/38293561_zpid/,"$176,262","$199,900",08109,Price change,4 beds,,NJ,2641 Gladwyn Ave,2 baths,11/18/15,"1,674 sqft",
Pennsauken,http://www.zillow.com/homedetails/2641-Gladwyn-Ave-Pennsauken-NJ-08109/38293561_zpid/,"$176,262","$199,900",08109,Listed for sale,4 beds,,NJ,2641 Gladwyn Ave,2 baths,11/04/15,"1,674 sqft",
Pennsauken,http://www.zillow.com/homedetails/2641-Gladwyn-Ave-Pennsauken-NJ-08109/38293561_zpid/,"$176,262","$199,900",08109,Sold,4 beds,,NJ,2641 Gladwyn Ave,2 baths,09/28/11,"1,674 sqft",
Pennsauken,http://www.zillow.com/homedetails/2641-Gladwyn-Ave-Pennsauken-NJ-08109/38293561_zpid/,"$176,262","$199,900",08109,Listing removed,4 beds,,NJ,2641 Gladwyn Ave,2 baths,08/16/11,"1,674 sqft",
Pennsauken,http://www.zillow.com/homedetails/2641-Gladwyn-Ave-Pennsauken-NJ-08109/38293561_zpid/,"$176,262","$199,900",08109,Price change,4 beds,,NJ,2641 Gladwyn Ave,2 baths,06/18/11,"1,674 sqft",
Pennsauken,http://www.zillow.com/homedetails/2641-Gladwyn-Ave-Pennsauken-NJ-08109/38293561_zpid/,"$176,262","$199,900",08109,Sold,4 beds,,NJ,2641 Gladwyn Ave,2 baths,07/31/87,"1,674 sqft",
